"","PLAYER_ID","AVG_PLAYING_TIME","plateAppearances_batted","atBatsFaced_pitched","weighted_avg_hit_location_batted","weighted_avg_hit_distance_sc_batted","weighted_avg_launch_angle_batted","weighted_avg_babip_value_batted","weighted_avg_iso_value_batted","weighted_avg_max_times_faced_batted","weighted_avg_max_times_faced_pitched","weighted_avg_max_pitches_thrown_pitched","weighted_avg_max_at_bats_faced_pitched","weighted_avg_release_speed_pitched","weighted_avg_release_pos_x_pitched","weighted_avg_release_pos_z_pitched","weighted_avg_pfx_x_pitched","weighted_avg_pfx_z_pitched","weighted_avg_plate_x_pitched","weighted_avg_plate_z_pitched","weighted_avg_vx0_pitched","weighted_avg_vy0_pitched","weighted_avg_vz0_pitched","weighted_avg_ax_pitched","weighted_avg_ay_pitched","weighted_avg_az_pitched","weighted_avg_effective_speed_pitched","weighted_avg_release_spin_rate_pitched","weighted_avg_release_extension_pitched","weighted_avg_delta_home_win_exp_pitched","weighted_avg_delta_run_exp_pitched","total_double_batted","total_field_error_batted","total_field_out_batted","total_fielders_choice_batted","total_fielders_choice_out_batted","total_force_out_batted","total_grounded_into_double_play_batted","total_home_run_batted","total_sac_fly_batted","total_single_batted","total_strikeout_batted","total_walk_batted","total_caught_stealing_2b_batted","total_hit_by_pitch_batted","total_triple_batted","total_sac_fly_double_play_batted","total_sac_bunt_batted","total_strikeout_double_play_batted","total_double_play_batted","total_stolen_base_2b_batted","total_pickoff_caught_stealing_2b_batted","total_sac_bunt_double_play_batted","total_wild_pitch_batted","total_pickoff_3b_batted","total_triple_play_batted","total_pickoff_1b_batted","total_pickoff_2b_batted","total_passed_ball_batted","total_caught_stealing_3b_batted","total_pickoff_caught_stealing_3b_batted","total_caught_stealing_home_batted","total_pickoff_caught_stealing_home_batted","total_pickoff_error_3b_batted","total_stolen_base_3b_batted","total_weak_batted","total_topped_batted","total_under_batted","total_flare_burner_batted","total_solid_contact_batted","total_barrel_batted","total_fly_ball_batted","total_ground_ball_batted","total_line_drive_batted","total_popup_batted","total_at_bats_faced_as_starter_pitched","total_at_bats_faced_as_reliever_pitched","total_double_pitched","total_field_out_pitched","total_force_out_pitched","total_grounded_into_double_play_pitched","total_sac_bunt_pitched","total_sac_fly_pitched","total_single_pitched","total_strikeout_pitched","total_walk_pitched","total_double_play_pitched","total_field_error_pitched","total_fielders_choice_out_pitched","total_hit_by_pitch_pitched","total_home_run_pitched","total_triple_pitched","total_caught_stealing_2b_pitched","total_fielders_choice_pitched","total_pickoff_2b_pitched","total_strikeout_double_play_pitched","total_caught_stealing_3b_pitched","total_wild_pitch_pitched","total_sac_fly_double_play_pitched","total_sac_bunt_double_play_pitched","total_caught_stealing_home_pitched","total_triple_play_pitched","total_pickoff_caught_stealing_2b_pitched","total_pickoff_3b_pitched","total_passed_ball_pitched","total_pickoff_1b_pitched","total_pickoff_caught_stealing_3b_pitched","total_stolen_base_2b_pitched","total_pickoff_caught_stealing_home_pitched","total_stolen_base_3b_pitched","total_pickoff_error_3b_pitched","total_4-Seam Fastball_pitched","total_Curveball_pitched","total_Cutter_pitched","total_Sinker_pitched","total_Slider_pitched","total_Changeup_pitched","total_Pitch Out_pitched","total_Knuckle Curve_pitched","total_Split-Finger_pitched","total_Slow Curve_pitched","total_Sweeper_pitched","total_Screwball_pitched","total_Slurve_pitched","total_Knuckleball_pitched","total_Forkball_pitched","birthYear","birthCountry","weight","height","bats","throws","debutYear"
"1","0014c193005b425aaad55358686fb0dd1a4a0755",121,242,0,4.4388726783499,118.717262813427,8.68435000612775,0.21900826446281,0.0578512396694215,2.02066115702479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,89,1,0,4,2,1,1,43,72,11,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,62,34,22,7,3,28,90,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,"USA",197,74,"R","R",2022
"2","003af1e4636109b822c9acfa703cb517c46d89fc",131,394,0,5.24532093240716,149.219788724274,12.2390520740224,0.203525098702764,0.124901297236323,2.33248730964467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,178,1,2,13,10,11,4,65,68,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,109,74,80,11,16,65,146,72,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"D.R.",211,72,"R","R",2017
"3","0043ac96d4fde6fcfd5a841b8d902661e69a6009",33,66,0,4.65990990990991,120.847203478782,4.46828609986505,0.196969696969697,0.0303030303030303,2.06060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,1,0,1,11,18,7,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,11,3,2,5,21,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,"Panama",220,71,"R","R",2022
"4","007d7209f1d3287648e11f52c5a5148732f7a791",56,0,112,0,0,0,0,0,0,1,22.0339285714286,5.60178571428572,89.5959373866213,-1.12032999185091,5.88421907188917,0.139284006696429,0.640625439873866,-0.0173202042587869,2.59882606646825,2.49023795528184,-130.4474759559,-3.5906974203186,0.932818085681941,26.7531973636873,-22.5807716746371,85.9771177225057,2250.68516342475,6.83780164635299,-6.95813669217686e-05,0.0180506159828515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,5,42,3,3,1,1,19,24,10,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,110,18,0,0,0,0,0,0,0,0,0,0,0,0,1999,"Venezuela",185,72,"R","R",2021
"5","007dcc596b82af90fd37f3413e98812b87a6b305",88,0,263,0,0,0,0,0,0,1.05920695274307,19.4113163135977,4.94913996016658,81.512524093853,2.73647956899316,5.83729479143311,-1.13995027381905,-0.201967866441118,-0.140993555560309,2.49003015264358,-4.30332708742165,-118.576815574896,-0.511861883664799,-9.16460125255029,24.3509209951845,-33.9747099033374,80.8118560723993,2558.70745241877,6.0609257460624,0.00063734593295466,-0.00614134350996473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,4,98,12,3,2,1,42,56,26,0,0,0,10,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,43,0,84,831,13,0,0,0,0,0,0,0,0,0,1993,"USA",235,78,"L","L",2018
"6","0084c15ee1d82fb5b793e1ff130f46651dd13e17",41,82,0,4.49368070953437,137.925894526325,14.0322546362719,0.134146341463415,0.0853658536585366,1.91463414634146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,31,1,0,2,2,1,0,7,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,11,6,2,6,9,28,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,"P.R.",188,73,"R","R",2022
"7","00e1f4c3b7821d2e4067adcac7bf4f174d924dbe",54,0,54,0,0,0,0,0,0,1.125,24,6.75,90.7893121693122,-2.3034806773088,5.43964041832011,-0.668215341660654,0.869071030242905,-0.0307115425084175,2.3042400154822,7.28393789360415,-131.982751219853,-3.81799185745917,-10.123392152444,28.3888566596921,-20.9781062918133,92.2910121678091,2250.12496204606,7.24598221801347,0.000184403183621934,-0.0534222049362674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,31,0,0,0,0,6,7,4,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,79,7,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"8","00e99b6a19161174f9f6520a80783c70236d8403",283,850,0,5.21751005458173,149.529081601496,16.6362953554356,0.202562699498404,0.164906520747834,2.65058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,389,2,1,12,3,27,10,126,131,70,0,17,13,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,162,208,155,22,24,177,251,136,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"USA",180,70,"L","L",2021
"9","00f2af912fbb0f299e177f6ff00fafed7bf79aa5",73,146,0,4.68332965090588,121.071990364523,5.84710221285564,0.212328767123288,0.164383561643836,2.01369863013699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,50,1,0,4,2,3,0,20,37,10,1,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37,16,19,7,6,22,50,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,"Cuba",170,72,"R","R",2022
"10","00fb2414b8f5bcdec5e0398176d9c76747645772",346,668,23,5.00796498355966,150.222441297346,14.5882955053903,0.193392407462434,0.148226352364849,2.27319596850236,1,11.5369030390738,4.38422575976845,65.7651234925229,-1.51657188856729,6.37929099131693,-0.619259611673903,1.51903673420164,-0.152656717317897,2.85339856488181,3.832395632651,-95.588266772949,0.0639212365990029,-5.82201260674538,16.3617196057067,-23.0523158072668,65.127150988905,1557.7590328027,5.88275373854317,-1.28075253256151e-05,0.102674503135552,33,7,280,1,1,8,12,22,3,96,171,25,2,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,155,108,106,25,46,113,224,99,31,0,23,1,12,0,0,0,0,6,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,"Panama",205,75,"R","R",2013
